URI,name,text
<http://dbpedia.org/resource/Marjorie_Holt>,Marjorie Holt,marjorie sewell holt born september 17 1920 a republican was a us congresswoman who represented marylands 4th congressional district from january 3 1973 to january 3 1987 she was the first republican woman elected to congress from marylandshe was born in birmingham alabama and attended jacksonville junior college now jacksonville university in 19401941 she attended the university of florida college of law and was admitted to the florida bar in 1949 and the maryland bar in 1962 and commenced practice in anne arundel county marylandin 1972 holt was elected as a republican to congress and served from january 3 1973 to january 3 1987 she was not a candidate for reelection in 1986 and resumed the practice of law in baltimore she was nominated by president ronald reagan as a member general advisory committee on arms control and disarmament she is a resident of severna park marylandholt was a strong proponent of american sovereignty and refused to sign a declaration of interdependence that 32 senators and 92 representatives signed in 1975 written by historian henry steele commager the declaration stateswe must join with others to bring forth a new world order narrow notions of national sovereignty must not be permitted to curtail that obligationshe stated that the document calls for the surrender of our national sovereignty to international organizations it declares that our economy should be regulated by international authorities it proposes that we enter a new world order that would redistribute the wealth created by the american people
<http://dbpedia.org/resource/William_Robert_Graham>,William Robert Graham,william robert graham born june 15 1937 was chairman of president reagans general advisory committee on arms control from 1982 to 1985 a deputy administrator and acting administrator of nasa during 1985 and 1986 and director of the white house office of science and technology policy and concurrently science adviser to president reagan from 1986 to 1989 he then served as an executive in national securityrelated companiesborn in san antonio texas graham received a bs degree in physics from the california institute of technology with honors in 1959 in addition he earned an ms degree in engineering science in 1961 and a phd in electrical engineering in 1963 both from stanford universitygraham served three years active duty as a project officer with the air force weapons laboratory at kirtland air force base albuquerque new mexico directing a group conducting experimental and theoretical research on strategic system survivability graham later spent six years with the rand corporation in santa monica california and jointly founded rd associates in 1971 in 1980 graham served as an adviser to presidential candidate ronald reagan and was a member of the presidentelects transition team from 1982 to 1985 he served as chairman of the general advisory committee on arms control and disarmament having been nominated by the president and confirmed by the senate in 1982 while chairing the general advisory committee he led the preparation of the report a quarter century of soviet compliance practices under arms control commitments 19581983 which was submitted to the president and to congress in 1984on september 12 1985 graham was nominated by president reagan for the position of deputy administrator of nasa he was confirmed by the united states senate on november 18 and sworn in on november 25 1985 for a period from december 4 1985 to may 11 1986 graham served as acting administrator of nasa following the resignation of james m beggs it was on his watch as acting administrator that the space shuttle challenger was launched in frigid weather causing orings to fail and destroy the ship graham left nasa on october 1 1986 to become director of the white house office of science and technology policy ostp on october 16 1986 he was sworn in as director of ostp and concurrently as science adviser to president reagan positions he held until june 1989 when he left government service to join jaycor a hightechnology company headquartered in san diego california he later served as the chairman and ceo of national security research inc from 1997 to 2005graham has also been a consultant to the office of the secretary of defense and served on many international and national boards and advisory groups including the national academy of sciencenational research council committee on undersea warfare and board on army science and technology the air force science advisory board task force on manned strategic system vulnerability the usuk joint working group on atomic weapons the defense nuclear agency scientific advisory group on effects and the defense science board system vulnerability task force and associated task forces he was a member of the defense science board from 2001 through 2008 where he led several studies and was also a member of the state departments international security advisory board from 2006 through 2008in 1998 graham served on the rumsfeld commission which investigated the ballistic missile threat to the united states for the congress and in 2000 served on the commission to assess united states national security space management and organization also mandated by congress he chaired the statutory commission to assess the threat to the united states from electromagnetic pulse emp attack from 2001 through 2008 which issued several reports including a report entitled critical national infrastructures in 2008
<http://dbpedia.org/resource/Jeremy_Clayton>,Jeremy Clayton,jeremy clayton born 9 february 1981 is a professional australian rules footballer who played for the north melbourne football club in the australian football league before enjoying great success in the south australian national football league sanfl with the port adelaide magpies winning the magarey medal for the best and fairest in the sanfl in 2005 and four consecutive best and fairest awards for port adelaide from 20052008clayton was originally from warracknabeal victoria and originally signed to play with sanfl club woodvillewest torrens when he was rookielisted by north melbourne in 2002clayton played eight games for north melbourne between 2003 and 2004 while also representing norths victorian football league vfl feeder club north ballarat after his delistment by north melbourne clayton moved to port adelaide winning a magarey medal in his first sanfl season in 2005 receiving the medal while in hospital after injuring his spleen during the final seriesafl club richmond approached clayton at the end of 2005 with a view to drafting him at the 2005 afl draft but clayton preferred to remain at port adelaideclayton suffered a season ending knee reconstruction and retired from football at the end of the 2012 sanfl seasoncontrary to popular myth he is no relation to former north melbourne premiership player shane clayton
<http://dbpedia.org/resource/Kyoko_Nakayama>,Kyoko Nakayama,kyoko nakayama nakayama kyko born january 26 1940 is a japanese politician of the japan restoration party formerly of the sunrise party of japan and before that a member of the liberal democratic party ldp machimura faction and is currently serving her first term as a member of the house of councillors upper house in the diet national legislature she was special advisor to the prime minister naikaku sridaijin hosakan for the north korean abduction issue under junichiro koizumi beginning in 2002 she left the post in 2004 but was reappointed by shinz abe in 2006 she was appointed by yasuo fukuda as state minister in charge of the population and gender equality issues on august 1 2008a graduate of the university of tokyo with a major in french literature she worked at the ministry of finance from 1966 until 2002 and was elected to the house of councillors for the first time in 2007 during her campaign she pledged to resolve the abduction issue her husband nariaki nakayama is a former transport minister and also a diet member of the japan restoration partyshe left the ldp and joined the sunrise party of japan on june 21 2010 along with other members of that party she moved to shintaro ishiharas short lived sunrise party and with the merger of that party with the japan restoration party she became a member of that party
<http://dbpedia.org/resource/Robbie_Ellis>,Robbie Ellis,rob elowitch born april 8 1943 better known by his ring name robbie ellis is an american professional wrestler who has competed in new england and midatlantic independent circuit as well as international promotions in europe the coowner of the prestigious barridoff galleries he was the subject of a sports illustrated article as well as considerable television and press coverage from world news tonight the today show the osgood file the macneillehrer news hour time and again and mtvs true life and the national enquireras of 2000 he wrestles for chikara innovative hybrid wrestling showcase pro wrestling no limit pro wrestling pro wrestling america pro wrestling revolution independent wrestling entertainment new england championship wrestling as the grandfather of wrestler ryan matthews and the millennium wrestling federation from january to november 2007 he went on tour with italian championship wrestling at age 63 he was the oldest wrestler on the rosterhe is the subject of a feature length documentary canvasman the robbie ellis story directed by gary robinov in 2010 it was an official selection of the maine jewish film festival atlantic city film and music festival camden international film festival south dakota film festival and cape ann film festivals and during 2011 the san diego and toronto jewish film festivals lewiston auburn film festival and portsmouth nh film festival among others on may 12 2011 it was screened on the maine public broadcasting network preceded by a half hour interviewin 2014 ellis returned to chikara as the promotions new storyline owner
<http://dbpedia.org/resource/Jimmy_Fagg>,Jimmy Fagg,jimmy fagg born 1929 in gravesend kent is an english standup comedian musician and actor he is most notable for his roles in the comic strip presents and separate roles in other british comedy filmshe had a long spell as a musician in the royal marines between 1940 and 1960 during this time he is reported to have been accused of mutiny on two separate occasions on both occasions however he was excused from any punishment it is believed due to his charm and wit as a comedianduring his time as a marine fagg forged a career as a standup comedy actor performing in the traditional pub circuit of musicians he performed in a number of pubs in the east end of london throughout this time he became most popular as a weekend performer at the imperial crown pub performing every friday saturday and sunday nights his talent as a pianist was often at the core of his performances both his talent as a musician and as a comedian were honed during his time in the band of the royal marineswhile performing in the early 1980s his talent as a comic was spotted by the then newly formed comic strip he appeared on a number of the features produced by them including the bullshitters south atlantic raiders part 2 argie bargie glc the carnage continues oxford spaghetti hoops les dogs the crying game detectives on the edge of a nervous breakdown space virgins from planet sex queen of the wild frontieras well as the films produced as part of the comic strip presents series he also appeared in a number of feature films walter 1982 eat the rich 1987 and the imitators 1996
<http://dbpedia.org/resource/Denny_Doyle>,Denny Doyle,robert dennis denny doyle born january 17 1944 in glasgow kentucky is a former major league baseball second baseman who played for the philadelphia phillies 19701973 california angels 19741975 and boston red sox 19751977 he batted lefthanded and threw righthanded he was considered a goodfielding second baseman but a weak hitter finishing with a career batting average of 250 and 16 home runs doyle enjoyed his best season in 1975 when after being traded from the angels to the red sox in june he batted 310 in 89 games for the red sox including a leaguebest 22 game hit streak he was the starting second baseman for the red sox in the 1975 american league championship series and world seriesdoyle has the distinction of having the only hit in three onehitters in his career getting the only hit a leadoff single in the first inning against nolan ryan of the new york mets on april 18 1970 and hitting a tworun home run in a game versus the cincinnati reds pitched by gary nolan on may 24 1971 then on july 18 1972 against the san diego padres doyle broke up steve arlins bid for a nohitter by singling with two out in the ninth inning padres manager don zimmer pulled in his third baseman to guard against the possible bunt doyle then placed a ball over the third basemans head and arlins date with destiny was over no pitcher has ever tossed a nohitter in a padre uniform to date this is the closest any has come to pitching onedoyles major league career is perhaps best known for his role in the infamous game six of the 1975 world series versus the cincinnati reds which featured carlton fisks dramatic twelfthinning home run that has become one of baseballs most iconic highlights doyle was involved in a ninthinning play that baseball fans still discuss the score was tied 66 and the bases were loaded with no outs and doyle on third base when fred lynn lifted a fly ball to short left field after reds left fielder george foster made the catch doyle tagged up and attempted to score the winning run he was thrown out at home plate which inadvertently helped set the stage for fisks subsequent gamewinning home run after the game red sox thirdbase coach don zimmer told the press i was yelling no no no and with the crowd noise he doyle thought i was saying go go go in a world series that included five future hall of fame players doyle was the only player on either team to hit safely in all seven games
<http://dbpedia.org/resource/Richard_E._Nisbett>,Richard E. Nisbett,richard e nisbett born 1941 is theodore m newcomb distinguished professor of social psychology and codirector of the culture and cognition program at the university of michigan at ann arbor nisbetts research interests are in social cognition culture social class and aging he received his phd from columbia university where his advisor was stanley schachter whose other students at that time included lee ross and judith rodinperhaps his most influential publication is telling more than we can know verbal reports on mental processes with t d wilson 1977 psychological review 84 231259 one of the most often cited psychology articles published in the seventies this article was the first comprehensive empirically based argument that a variety of mental processes responsible for preferences choices and emotions are inaccessible to conscious awareness nisbett and wilson contended that introspective reports can provide only an account of what people think about how they think but not how they really think some cognitive psychologists disputed this claim with ericsson and simon 1980 offering an alternative perspectivenisbetts book the geography of thought how asians and westerners think differently and why free press 2003 contends that human cognition is not everywhere the same that asians and westerners have maintained very different systems of thought for thousands of years and that these differences are scientifically measurable nisbetts most recent book intelligence and how to get it why schools and cultures count argues that environmental factors dominate genetic factors in determining intelligencein 2010 nisbett wrote intelligence and how to get it why schools and cultures count the book reviewed extensive favorable attention in the press and from some fellow academics for example university of pennsylvania psychologist daniel osherson wrote that the book was a hugely important analysis of the determinants of iq on the other hand more critical reviewers argued that the book failed to grapple with the strongest evidence for genetic factors in individual and group intelligence differenceswith edward e jones he named the actorobserver bias the phenomenon where people acting and people observing use different explanations for why a behavior occurs
<http://dbpedia.org/resource/Gord_Hunter>,Gord Hunter,gordon hunter born january 20 1946 in montreal quebec canada was an ottawa city councillor he represented knoxdalemerivale ward on january 31 2010 he announced that he would not be running reelection to city council in 2010hunter was born into a military family and moved frequently during his childhood he attended lakefield college school dalhousie university and university of toronto graduating in 1968 he moved to nepean in 1968 to become a teacher at confederation high school and taught physical education there for thirtyone years until the school closed in 1999 he was also a national champion at orienteeringhe ran for the federal liberal party in the 1980 federal election but lost to progressive conservative walter baker by more than 12000 votes he ran again in the 1984 federal election and lost by almost 21000 votes this was the election where the progressive conservatives swept to power with a majority governmenthunter entered municipal politics in 1980 when he was elected to the nepean city council as well as to the regional municipality of ottawacarleton council he was easily reelected in every election thereafter 1982 1985 1988 1991 1994 1997during the 1980s when the nonsmoking bylaw was on the agenda at the nepean city hall nonsmoking areas in restaurants garfield mahood executive director of nonsmokers rights association amongst other health experts attempted to persuade hunter to support the bylaw however hunter steadfastly refused to support a nonsmoking bylawin 1994 as a result of local government reorganization hunter moved to the regional municipality of ottawacarleton council a liberal he ran for the party in the 1999 provincial election in the riding of nepeancarleton but lost to tory incumbent john baird he is however regarded as one of the more fiscally conservative councillorswith the creation of the new city of ottawa in 2000 hunter ran to represent the knoxdalemerivale ward and easily won election against an antidevelopment activist in the 2003 municipal election he was reelected with 84 of the votehunter was opposed to the citys lightrail expansion which would have linked barrhaven south to downtown in 2009 before it was cancelled by city council on december 14 2006 hunter expressed concerns about high costs on the project as well as the ridership on december 8 2006 hunter voted against a plan that would have truncated only the downtown segment of the proposal and later introduced another vote to topple the complete project which failed on december 14 2006 after mayor larry obrien decided to vote against the project hunter voted for the cancellation of the project 1 23meanwhile on feb 22 2007 on cfras the lunch bunch hunter said he may have accepted a campaign contribution from the siemenspcl consortium ottawa lrt corporationgord hunter was also criticized for the appearance of a conflict of interest for having accepted a free corporate box seat at the 2007 stanley cup nhl hockey playoff game senators vs anaheim ducks at scotiabank place from waste management servicesa company that the city does business with ottawa sun june 11 2007 the city of ottawa policy states employees must not accept directly or indirectly any gifts hospitality or other benefits that are offered by persons groups or organizations having dealings with the city however other than addressing corruption the provincial municipal act does not prohibit councillors from accepting such giftsit was revealed in a report of the city of ottawas 2007 office budget spending by city councillors that gord hunter spent the least according to the ottawa sun april 1 2008 the most frugal on the list is always knoxdalemerivale coun gord hunter and 2007 was no exception hunter only spent 11862 of his budget saving taxpayers more than 24000
<http://dbpedia.org/resource/Gregory_Tesser>,Gregory Tesser,gregory ronald tesser is a sports writer and broadcaster born in highgate london on may 11 1946 he was educated at byron house the hall school and one of britains most ancient public schools the kings school gloucesterin 1964 he became the publicity manager of georgie fame and the yardbirds in 1965 he launched the amateur footballer magazine during his time as editorpublisher he exposed the hypocrisy of shamateurism in english football which resulted in a minidocumentary in 1969 during ian wooldridges sports arena show on itv in the same year tesser became a leading football agent for the likes of peter osgood charlie cooke and rodney marshduring the 1990s tesser worked on bbc tvs definitive documentary on the history of football kicking and screaming and was interviewed for the book of the same name written by rogan taylor and andrew ward allied to the series and published in 1995his article for the daily telegraph in 1995 on more regionalisation in nonleague football helped change the way the leagues were structuredin 1998 he began a series of celebrity interviews for both esquire and gq beginning with tony blair and later to include hrh prince philip on their passion for sporthe currently writes on rugby union for country life magazine with previews of amongst others the annual 6 nations tournament having also been a features writer for the rugby times in 2011 the year of the rugby world cup he not only wrote a preview of the tournament for country life but also penned a piece for the jewish chronicle on the many jewish players that have lit up the game since before the first world warhis book chelsea fc in the swinging 60s footballs first rock n roll club was published in august 2013 by the history press it chronicles his life as pr man for georgie fame the yardbirds and his years as agent and business partner of the king of stamford bridge himself peter osgoodwwwamazoncoukchelseafcswinging60swwwamazoncomchelseafcswinging60shttpwwwthejccomlifestylelifestylefeatures61199whenfootballersfirstruledworld the jewish chronicle
<http://dbpedia.org/resource/Karl_Lucas>,Karl Lucas,karl lucas is an english comedian actor and writer who has written for and appeared in a number of television music videos and radio comedy programmes as well as various theatre productionslucas worked on galaxy 102s breakfast show which collectively won three sony awards 19992000 gold in 1999 and silver in 2000 for best breakfast show lucas was writer and comedy sidekick on the show and was awarded his own sony award bronzefor his part of the sticker vicar in 1999lucas is a graduate of salford universitywith a ba honours and hnd in performing artshe is one of a handful of performers who have graduated from salford university with distinction and is entered in their hall of famelucas played richard a member of the fictional pop group 2 up 2 down on peter kays britains got the pop factor and possibly a new celebrity jesus christ soapstar superstar strictly on ice 2008 a spoof on the talent show genre of programmes some of the shows most memorable moments saw 2 up 2 down singing a duet with rick astley getting hiphop dance lessons off lionel blair and richards rap in the middle of the winners song which was cowritten by gary barlowhe is the only british comedian who has worked as a warm up on american tv shows americas got talent and osbournes reloaded and is rumoured to be heading out to the states to be working on the new series of the x factor
<http://dbpedia.org/resource/Ricardo_Azevedo>,Ricardo Azevedo,ricardo azevedo born august 24 1956 in rio de janeiro brazil is a professional water polo coach in italy born in brazil azevedo is the son of a brazilian world cup soccer player azevedo played on the brazilian national water polo team from 1974 to 1980 he was twice voted brazils player of the year in 1976 his team won the gold medal in the south american games azevedo received his bachelor of arts degree from california state university long beach in 1980he is now the head coach of china mens national water polo teamafter his playing career azevedo became a water polo coach and is now considered one the premier coaches in the world azevedo was head coach for the usa mens water polo team usa junior team and at long beach state university azevedo became head coach of rn elettrogreen camogli in 2007 unexpectedly leading his young team to the division championship title game in 2008 azevedo is unique among the global water polo community due to his language skills that have observed his coaching international teams in english spanish italian portuguese and japanese azevedo has coached several olympians since their youth including his son tony azevedo who was a fourtime all american and ncaa player of the year at stanford university and serves as captain of the mens water polo team for the 2008 summer olympics and 2012 summer olympics and his daughter cassie who was a twotime allamerican water polo player at long beach state for the 2012 summer olympics azevedo is the head coach of the chinese mens water polo national team
<http://dbpedia.org/resource/Robert_Lansdorp>,Robert Lansdorp,robert lansdorp born 1938 semarang indonesia is a professional tennis coach he first rose to international fame in 1979 when his student tracy austin became the youngest us open womens singles champion in history at age 16 he has gone on to coach other tennis champions including pete sampras lindsay davenport and maria sharapova he is regarded as an expert on groundstrokes in particular the forehand advocating a powerful flat hitting technique commonly referred to as the lansdorp forehandin 2004 lansdorp said ive never received anything from one player not even a 500 gift theyre all multimillionaires but ive never received one thing and im telling you if maria doesnt put a mercedes convertible in my driveway im going to shoot myselflansdorp received the usta lifetime achievement award in 2005 and was honored as a team usa coaching legend along with nick bollettieri jerry baskin and jack sharpe at the inaugural 2013 team usa coaching legend reception in indian wells californiain 2013 he publicly criticized the united states tennis associations player development program under general manager patrick mcenroe saying the 2012 mandate requiring players under the age of ten compete on miniature courts with lightweight greendot balls is wrong for the very talented kids sharapova monica seles and the williams sisters he noted were very competitive with standard courts and equipment from age 7
"<http://dbpedia.org/resource/John_Y._Brown,_Jr.>","John Y. Brown, Jr.",john young brown jr born december 28 1933 is a politician entrepreneur and businessman from the us state of kentucky he served as the 55th governor of kentucky from 1979 to 1983 although he may be best known for building kentucky fried chicken kfc into a multimillion dollar restaurant chain currently single he has been married three times the second time to former miss america phyllis george among his children are news anchor pamela ashley brown and former secretary of state of kentucky john y brown iiithe son of a us congressman browns talent for business became evident in college where he made a substantial amount of money selling encyclopdia britannica sets after briefly practicing law with his father he purchased kentucky fried chicken from founder harland sanders in 1964 brown turned the company into a worldwide success and sold his interest in the company for a huge profit in 1971 he then invested in several other restaurant ventures but none matched the success of kfc during the 1970s he also owned at various times three professional basketball teams the american basketball associations kentucky colonels and the national basketball associations boston celtics and buffalo braves currently the los angeles clippersdespite having previously shown little inclination toward politics brown surprised political observers by declaring his candidacy for governor in 1979 with the state and nation facing difficult economic times brown promised to run the state government like a business a strong media campaign funded by his personal fortune allowed him to win the democratic primary and go on to defeat former republican governor louie b nunn in the general election because he owed few favors to established political leaders he appointed many successful businesspeople to state posts instead of making political appointments following through on his campaign promise to make more diverse appointments he named a woman and an africanamerican to his cabinet during his tenure brown exerted less influence over the legislature than previous governors and was frequently absent from the state leaving lieutenant governor martha layne collins as acting governor for more than one quarter of his term he briefly considered a run for the us senate after his gubernatorial term but withdrew from the race after only three weeks citing health issues he has continued to invest in business ventures the most high profile of which was kenny rogers roasters a woodroasted chicken restaurant he founded with country music star kenny rogers
<http://dbpedia.org/resource/Edgar_E._Peters>,Edgar E. Peters,edgar e peters born 1952 is an asset manager and writer on investment management topics he is noted for his early contributions to the application of chaos theory and fractals to the financial markets these works primarily dealt with fat tailed distributions originally discovered by benoit mandelbrot and expanded upon in peters 1991 and 1994 these probability distributions are considered fractal because they are selfsimilar over different investment horizons once adjusted for scale peters worked as an asset manager for panagora asset management inc during which time he researched rescaled range analysis and attempted to estimate the hurst exponent of various financial markets he has also taught at babson college boston college and bentley college and contributed papers to the journal of portfolio management and the financial analysts journal he now works at first quadrant llp in californiahis books include chaos and order in the capital markets according to worldcat the book is held in 659 libraries fractal market analysis held in 485 libraries andpatterns in the dark understanding risk and financial crisis with complexity theory according to google scholar his books and articles have over 3000 referenceshis best known contribution is the fractal market hypothesis fmh which was outlined in peters 1994recent research has supported the fmh as well describing the global financial crisis of 2008 as well as tech bubble of 2000 the fmh is a model of investor behavior that unlike the efficient market hypothesis assumes investors have multiple time horizons and interpret information based upon their horizonmore recently he has contributed to the risk parity literature
<http://dbpedia.org/resource/Kam_Lee>,Kam Lee,kam lee born barney kamalani lee is an american singer he is best known for his vocal contributions to an early incarnation of death called mantas in 198384 and later joined massacre in 1985 founded and formed by bill andrews and allen westlee early on employed the vocal style called the death grunt or death growl taking influence from the then celtic frost vocalist thomas gabriel fischer aka tom g warrior massacre recorded 2 demo tapes that were heavily distributed using the tape trading system but did not lead to a record deal the band dissolved when members rick rozz bill andrews and terry butler left to join a later inception of chuck schuldiners death however the subsequent citing of massacre as influences by bands such as napalm death signified a great interest in the defunct act within the death metal community this led to a reformation and the recording of the album from beyond on earache records made up mainly of reworking of the songs featured on the original 1985 1986 demo tapeslyrically lee drew heavily from the stories of american author h p lovecraft and the albums cover art featured a painting by artist ed repka representing creatures from lovecrafts imagination lee also played drums in both mantas and death as well as vocals he has also been a member of many other shortlived bands in 2006 he joined a band with terry butler deathmassacresix feet under sam williams and curtis beeson called denial fiend of whom released their debut they rise on october 16 2007 in that same month massacre played their final gig in the united states on october 6 2007 october 26 massacre began their final tour dubbed reanimated in berlin germanyin 2009 lee started the death metal band bone gnawer with rogga johansson morgan lie and ronnie bjornstrom later that year lee and johansson would form another death metal band called the grotesquery along with members johan berglund and brynjar helgetunlee was cast as a serial killer in the 2011 independent horror film deep seeded
<http://dbpedia.org/resource/Steve_Mogotsi>,Steve Mogotsi,stefanus steve orateng mogotsi born 26 december 1961 is a namibian politician and former featherweight boxer a member of swapo mogotsi won a seat in the regional council of omaheke region in 2004 he was subsequently selected to the 3rd national council of namibia the seat representing kalahari constituency had been held by the democratic turnhalle alliance since 1992 mogotsi was born in aminuis omaheke region he was a featherweight boxing championand a winger for the namibian rugby union team in 2011 he joined swapo in 1978 while studying at st josephs high school in dbra he became increasingly involved in politics when he worked at consolidated diamond mines cdm in oranjemund karas region at cdm mogotsi became the shop steward for the mineworkers union of namibia in 1994 mogotsi moved permanently back to omaheke region the region of his birth to become a fulltime commercial farmer and building contractor in 1998 mogotsi contested the kalahari constituency but lost to the dta candidate six years later mogotsi won the seat in 2005 he was selected to the cabinet of hifikepunye pohamba as deputy minister of works transport and communication following the resignation of paulus kapia with this appointment mogotsi became the first ethnic tswana to serve in any namibian cabinet
<http://dbpedia.org/resource/John_Kolvenbach>,John Kolvenbach,john kolvenbach is an american playwright known for works including gizmo love love song on an average day goldfish and fabulosoafter graduating from middlebury college in 1988 he attended rutgers university graduating with a masters in fine arts degree in 1992 both love song and on an average day were performed in the west end in london love song was directed by john crowley and featured kristen johnson cillian murphy neve campbell and michael mckean love song was nominated for an olivier award as best new comedy on an average day was also directed by crowley and featured woody harrelson and kyle maclachlan love song premiered at the steppenwolf company in chicago directed by austin pendleton fabuloso premiered on cape cod at the wellfleet harbor actors theater what in the summer of 2008 directed by the author also at what the premiere of gizmo love 2004 directed by sam weisman and productions of on an average day 2006 and love song 2007 both directed by jeff zinn goldfish was presented by south coast repertory in their 2009 season directed by loretta greco kolvenbachs companion piece to goldfish entitled mrs whitney was presented in repertory with goldfish at the magic theatre in san francisco in the fall of 2009kolvenbachs works have been performed all over the world including productions in rome sydney wellington seoul melbourne tel aviv and in many theatres in the us the plays are published by methuen and the dramatists play service
<http://dbpedia.org/resource/Yana_Mintoff>,Yana Mintoff,yana mintoff aka joan bland mintoff is a political activist economist and educator mintoff was born on 21 august 1951 the daughter of the former prime minister of malta dom mintoff and moyra de vere bentinck by whom she is descended from both dutch and british nobilityin 1968 at the age of 17 mintoff travelled to czechoslovakia on her own outraged by the soviet occupation of that country and its harsh repression she worked at olomouc as a youth volunteer and opposed the soviet military presencebetween 1973 and 1974 while working as a teacher in greece she participated in the student protests against the military junta that had taken power she was amongst the students who were attacked by the army outside the athens polytechnic many students were killed and she was shot at three times before managing to escapein 1974 she contributed to the granada television documentary series world in action the subject was a scandal involving british architect john poulson and the building of a white elephant hospital in gozo her research into the bribery and corruption of local officials led the trail to the british home secretary reginald maudling he resigned after this documentary was broadcastas a teacher and an activist in britain she worked for workers and womens rights and was an activist for irish and palestinian causeson 6 july 1978 mintoff took part in a demonstration in the house of commons in london to protest against britains military presence in northern ireland three bags of horse manure were hurled from the public gallery during a debate on scottish devolution mintoff and a john mcsherry were arrested and she was later finedon her return to malta she helped establish the association of women of the mediterranean region an organization to unite women in nineteen mediterranean countries in the causes of justice equality and peace mintoff helped compile four books of collected worksmilitarism in the mediterranean malta 1994health in the mediterranean including interviews with tuareg nuclear test victims malta 1995nobody can imagine our longing refugees and immigrants in the mediterranean plain view press austin tx 1996in search of peace plain view press 1998an economist by training her publications include an article published in the international journal of health services johns hopkins university md usain texas mintoff worked with the foundation for a compassionate society and was invited to speak at the un alternative forum in beijing in 1995 on the subject of women and peace she also worked on a study of the health effects of military pollution at kelly air force base san antonio texas where she won two environmental justice awards in addition to being an activist in the cause of peace mintoff has been a teacher administrator and the founder of two schools during the past thirty yearsmintoff was the superintendent of the katherine anne porter school a charter school in wimberley texas before returning to malta due to her fathers illnessshe married david p bland in 1991 her children are cetta s mainwaring and daniel x mainwaringhaving returned to malta to tend to her ailing father mintoff addressed the maltese labour partys general conference of 2012mintoff was a candidate in the 2013 maltese general election but she failed to get elected to the house of representatives
<http://dbpedia.org/resource/Russ_Gibb>,Russ Gibb,uncle russ gibb born 1931 is a former concert promoter and media personality from dearborn michigan probably most famous for his role in the paul is dead phenomenon a story he broke as a dj on wknrfmafter a visit to the fillmore and a talk with promoter bill graham he operated detroits grande ballroom and was a major player in the late sixtiesearly seventies motor city music scene he was instrumental in giving the mc5 ted nugent and iggy pop their start the grande ballroom also was where the who played their rock opera tommy for the first time in the united statesgibb also owned or leased other live music venues around the midwest including the eastown ballroom michigan theater where the new york dolls played and the birmingham palladium he expanded his music endeavors when he invested in creem magazine in 196566 gibb was hired by the methodist church to host night call americas first national callin talk show on the mutual broadcasting network around this time he also hosted cross country checkup a canadian national call in talk show from montrealduring the administration of gerald ford he worked under senator john warner on the united states bicentennial commission as the national director of youth and educationwhile in england he spent time with eric clapton including late night sessions playing monopoly and during a stay at mick jaggers english estate stargroves gibb learned about cable television he bought the dearborn michigan wayne michigan and grosse pointe michigan cable licenses in the late seventies the sale of which made him a millionaire a few years laterdespite his financial wellbeing gibb returned to teaching and spent over twenty years teaching video and media production at dearborn high school the video program he started and ran for over 20 years has a stateoftheart facility and has produced hundreds of awardwinning video students many of whom have gone on to careers in the media business the program also spawned the longrunning cable video show back porch videocurrently gibb is cofounder of music discovery website grokmusic httpwwwgrokmusiccom
<http://dbpedia.org/resource/Pat_Dunne>,Pat Dunne,patrick pat dunne born 9 february 1943 in dublin is a former irish professional football goalkeeper he played internationally for the republic of ireland and professionally in both republic of ireland and englanddunne played in dublin with stella maris football club a club that competes in the dublin and district schoolboys league in drumcondra before playing in england for everton he returned to ireland to play with the shamrock rovers making his debut along with jackie mooney against shelbourne fc at dalymount park on 22 august 1962 he played in the uefa cup winners cup that season and the intercities fairs cup the following season against valencia giving him a total of 4 european appearances during this season pat played in all 22 league games where rovers only lost once winning every trophy except the top four cuphe left milltown to join manchester united in may 1964 for a fee of 10500 winning a league title medal in his first season dunne made his debut for the republic of ireland in a world cup qualifier against spain at dalymount park in may 1965 he played in the first ever republic of ireland u23 game in 1966in february 1967 he joined plymouth argyle costing the devon side 5000 dunne was argyles player of the season in 196768 pat was a guest player on rovers american tour in the summer of 1967 where he was voted goalkeeper of the tournamenthe rejoined rovers in november 1970 he became the first player to be shown a red card in league of ireland football when he was sent off on 1 september 1974 in a league cup match against shelbourne during this time he even started taking penalties for the club scoring one against cork hibs on 10 december 1972pat dunne travelled to japan in september 1975 with the rovers team that played three matches on that tour and they beat the japanese international side 32 in one of them he vied with alan oneill for the goalkeeping spot over the next two seasons but when johnny giles arrived in the summer of 1977 it wasnt long before pat was on his way from rovers pat played in giles first match in charge in august 1977 but he left during the season and became playermanager of thurles town later was playermanager at shelbourne finally retiring from playing in 1981 after a career stretching some 20 yearson the international front pat made one under23 appearance for his country against france in 1965 in total he won five full caps three against spain and kept one clean sheetpats son derek also a goalkeeper played briefly for waterford united in 1989in 2004 dunne was appointed as goalkeeping coach at shamrock rovers on 5 november 2004 dunne collapsed on the pitch during the warm up before the match against local rivals bohemianin october 2006 dunne was sued over allegations of assault
